"授業前","授業後"
52,64
85,66
75,65
86,73
41,53
42,61
59,61
50,59
65,63
67,49
59,86
96,57
60,64
50,62
50,61
39,71
69,65
77,76
63,81
45,74
43,55
80,83
51,68
93,65
84,65
38,64
82,85
97,85
63,70
79,77
66,71
55,62
61,84
84,60
69,58
54,64
82,75
86,45
72,87
35,68
22,81
48,59
64,69
52,61
63,62
56,66
65,71
63,53
10,74
82,71
76,80
62,57
44,62
84,63
92,54
73,77
63,66
42,81
82,76
82,62
56,65
96,51
27,69
83,70
78,74
12,70
68,77
68,85
82,68
60,63
56,54
69,51
100,59
62,79
82,78
76,73
55,59
67,73
63,61
87,89
84,46
71,60
48,80
69,74
62,74
54,64
69,63
73,83
46,74
97,81
69,52
51,73
86,78
85,71
50,75
87,70
93,72
62,80
77,71
24,69
