"participant","class","score"
1,"class1",48
2,"class1",51
3,"class1",64
4,"class1",62
5,"class1",46
6,"class1",41
7,"class1",45
8,"class1",63
9,"class1",63
10,"class1",55
11,"class1",44
12,"class1",39
13,"class1",58
14,"class1",64
15,"class1",56
16,"class1",32
17,"class1",54
18,"class1",70
19,"class1",52
20,"class1",48
21,"class1",65
22,"class1",56
23,"class1",55
24,"class1",57
25,"class1",66
26,"class1",55
27,"class1",54
28,"class1",65
29,"class1",46
30,"class1",58
31,"class2",72
32,"class2",55
33,"class2",49
34,"class2",55
35,"class2",60
36,"class2",73
37,"class2",69
38,"class2",46
39,"class2",50
40,"class2",56
41,"class2",61
42,"class2",51
43,"class2",72
44,"class2",60
45,"class2",46
46,"class2",74
47,"class2",79
48,"class2",42
49,"class2",64
50,"class2",63
51,"class2",78
52,"class2",53
53,"class2",58
54,"class2",62
55,"class2",56
56,"class2",66
57,"class2",71
58,"class2",59
59,"class2",69
60,"class2",58
61,"class3",83
62,"class3",49
63,"class3",71
64,"class3",54
65,"class3",71
66,"class3",57
67,"class3",64
68,"class3",63
69,"class3",50
70,"class3",77
71,"class3",66
72,"class3",55
73,"class3",46
74,"class3",53
75,"class3",61
76,"class3",57
77,"class3",74
78,"class3",73
79,"class3",67
80,"class3",64
81,"class3",68
82,"class3",50
83,"class3",62
84,"class3",70
85,"class3",74
86,"class3",90
87,"class3",45
88,"class3",52
89,"class3",43
90,"class3",58
91,"class4",84
92,"class4",80
93,"class4",67
94,"class4",81
95,"class4",97
96,"class4",98
97,"class4",68
98,"class4",70
99,"class4",85
100,"class4",72
101,"class4",93
102,"class4",67
103,"class4",81
104,"class4",84
105,"class4",42
106,"class4",74
107,"class4",61
108,"class4",70
109,"class4",74
110,"class4",69
111,"class4",73
112,"class4",79
113,"class4",73
114,"class4",76
115,"class4",71
116,"class4",79
117,"class4",77
118,"class4",90
119,"class4",75
120,"class4",78
