"participant","group","time","score"
1,"flash card","before semester",52
2,"flash card","before semester",62
3,"flash card","before semester",39
4,"flash card","before semester",40
5,"flash card","before semester",38
6,"flash card","before semester",38
7,"flash card","before semester",34
8,"flash card","before semester",51
9,"flash card","before semester",46
10,"flash card","before semester",44
11,"flash card","before semester",43
12,"flash card","before semester",51
13,"flash card","before semester",47
14,"flash card","before semester",40
15,"flash card","before semester",53
16,"flash card","before semester",43
17,"flash card","before semester",40
18,"flash card","before semester",58
19,"flash card","before semester",44
20,"flash card","before semester",51
21,"flash card","before semester",44
22,"flash card","before semester",44
23,"flash card","before semester",55
24,"flash card","before semester",58
25,"flash card","before semester",39
26,"flash card","before semester",34
27,"flash card","before semester",42
28,"flash card","before semester",64
29,"flash card","before semester",58
30,"flash card","before semester",33
31,"flash card","before semester",49
32,"flash card","before semester",64
33,"flash card","before semester",47
34,"flash card","before semester",49
35,"flash card","before semester",57
36,"flash card","before semester",39
37,"flash card","before semester",53
38,"flash card","before semester",36
39,"flash card","before semester",59
40,"flash card","before semester",45
1,"flash card","after semester",43
2,"flash card","after semester",63
3,"flash card","after semester",54
4,"flash card","after semester",30
5,"flash card","after semester",54
6,"flash card","after semester",41
7,"flash card","after semester",44
8,"flash card","after semester",35
9,"flash card","after semester",56
10,"flash card","after semester",55
11,"flash card","after semester",59
12,"flash card","after semester",59
13,"flash card","after semester",60
14,"flash card","after semester",52
15,"flash card","after semester",45
16,"flash card","after semester",67
17,"flash card","after semester",59
18,"flash card","after semester",45
19,"flash card","after semester",44
20,"flash card","after semester",56
21,"flash card","after semester",53
22,"flash card","after semester",55
23,"flash card","after semester",48
24,"flash card","after semester",47
25,"flash card","after semester",30
26,"flash card","after semester",56
27,"flash card","after semester",43
28,"flash card","after semester",59
29,"flash card","after semester",47
30,"flash card","after semester",55
31,"flash card","after semester",51
32,"flash card","after semester",31
33,"flash card","after semester",52
34,"flash card","after semester",48
35,"flash card","after semester",62
36,"flash card","after semester",40
37,"flash card","after semester",52
38,"flash card","after semester",51
