"participant","Before_Semester","After_Semester"
1,288,289
2,306,321
3,308,318
4,288,320
5,303,327
6,300,323
7,300,324
8,303,314
9,297,317
10,325,308
11,291,314
12,314,319
13,291,327
14,302,330
15,302,307
16,312,307
17,288,325
18,287,309
19,306,300
20,293,309
21,299,310
22,309,320
23,309,303
24,322,320
25,292,325
26,295,318
27,292,300
28,311,305
29,290,320
30,304,321
31,287,306
32,315,307
33,282,325
34,308,335
35,296,302
36,307,327
37,285,313
38,311,303
39,276,322
40,303,308
41,880,990
42,940,890
